num,sheet,http / sip ,,,,,http / ftp,,,,,sip / ftp,,,,,http / http ( 50 % diff),,,,,sip / sip (50% diff),,,,,ftp / ftp (50 % diff),,,,,http / http (100% diff),,,,,sip / sip ( 100% diff),,,,,ftp / ftp (100 % diff),,,,
,,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch,Cosine,Jaccard,RBF,Ngram,Needleman_Wunch
24,outputSheet 24,0.4951,0.7226,0.8693,0.2536,0.5962,0.102,0.2492,0.8501,0.1476,0.5206,0.1192,0.2475,0.8552,0.1465,0.5173,0.9997,0.9934,0.9728,0.8275,0.8275,0.9997,1,0.9961,0.8213,0.8654,0.9993,1,?,0.5401,0.7413,0.934,0.8125,0.7627,0.2549,0.5626,0.9789,0.8516,0.9531,0.5654,0.6999,0.9984,1,1,0.3266,0.5599
25,outputSheet 25,0.518,0.7432,0.8812,0.2851,0.5763,0.1048,0.2524,0.8511,0.1287,0.5167,0.1184,0.2475,0.8551,0.1464,0.5172,1,1,1,1,1,0.9997,1,0.996,0.8209,0.8652,0.9993,1,?,0.5591,0.7507,0.9112,0.8247,0.7371,0.2157,0.5438,0.9782,0.8516,0.9533,0.5654,0.6998,0.981,1,1,0.2933,0.5585
26,outputSheet 26,0.4891,0.7179,0.8928,0.2707,0.5832,0.1067,0.2485,0.8493,0.1624,0.5238,0.1204,0.2475,0.8553,0.1462,0.5173,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.996,0.8217,0.8656,0.9993,1,?,0.5414,0.7502,0.9392,0.8239,0.7835,0.2886,0.5796,0.9783,0.8516,0.9532,0.5654,0.6999,0.6318,1,1,0,0
27,outputSheet 27,0.4896,0.7244,0.8724,0.2718,0.5834,0.1046,0.2485,0.8491,0.1626,0.5241,0.1214,0.2508,0.8553,0.1469,0.5174,1,1,1,1,1,0.9997,0.9915,0.9961,0.8209,0.8653,0.9993,1,?,0.533,0.7364,0.9393,0.8302,0.7844,0.2884,0.5799,0.9777,0.845,0.9531,0.5652,0.6996,0.8606,1,1,0.1641,0.5203
28,outputSheet 28,0.4882,0.7134,0.8724,0.2714,0.5832,0.1065,0.2485,0.8487,0.1628,0.524,0.1212,0.2508,0.8547,0.1471,0.5173,0.9978,0.9805,0.9539,0.7414,0.7414,0.9997,0.9915,0.9961,0.8209,0.865,0.9993,1,?,0.5593,0.7492,0.9384,0.7862,0.805,0.3266,0.5899,0.9781,0.845,0.9531,0.5654,0.6999,0.9117,1,1,0.2199,0.5341
29,outputSheet 29,0.6521,0.6739,0.8723,0.212,0.5398,0.1229,0.2252,0.8507,0.0734,0.5074,0.1193,0.2475,0.8551,0.1471,0.5172,0.8851,0.8085,0.8885,0.4681,0.5594,0.9997,0.9915,0.9961,0.8216,0.8658,0.9992,1,?,0.5283,0.7354,0.6262,0.741,0.6887,0.1585,0.5272,0.9788,0.8516,0.9529,0.5653,0.6998,0.9987,1,1,0.3137,0.5662
30,outputSheet 30,0.4892,0.7244,0.8941,0.2715,0.5835,0.1037,0.2485,0.8492,0.1619,0.5238,0.118,0.2508,0.8553,0.1461,0.5171,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,0.9915,0.996,0.8216,0.8653,0.9993,1,?,0.6291,0.781,0.9379,0.8063,0.8051,0.3302,0.5952,0.9784,0.845,0.953,0.5652,0.7,0.8139,1,1,0,0
31,outputSheet 31,0.5172,0.7432,0.8723,0.2858,0.5767,0.1083,0.2524,0.8518,0.1287,0.5165,0.1193,0.2475,0.8556,0.1464,0.5171,0.9957,0.9338,0.9371,0.6532,0.6532,0.9997,1,0.9961,0.8214,0.8657,0.9992,1,?,0.5372,0.7377,0.9118,0.8235,0.7375,0.2157,0.544,0.9781,0.8516,0.9527,0.5654,0.6998,0.6222,1,1,0,0
32,outputSheet 32,0.5162,0.7383,0.8924,0.2849,0.5764,0.1067,0.2524,0.8512,0.1287,0.5167,0.119,0.2508,0.8551,0.1465,0.5173,1,1,1,1,1,0.9997,0.9915,0.9961,0.8214,0.8652,0.9994,1,?,0.6451,0.7968,0.91,0.817,0.7481,0.2475,0.5633,0.9824,0.845,0.9596,0.6068,0.7208,0.9813,1,1,0.2758,0.5436
33,outputSheet 33,0.488,0.7179,0.8925,0.2709,0.5835,0.1047,0.2485,0.8492,0.1617,0.5238,0.1187,0.2475,0.8553,0.1459,0.5173,1,1,1,1,1,0.9997,1,0.996,0.8212,0.865,0.9991,1,?,0.5463,0.7436,0.9358,0.7375,0.833,0.3708,0.6164,0.9772,0.8516,0.9528,0.5649,0.6994,0.9988,1,1,0.2994,0.6066
